Date,Username,User tag,Content,Mentions,link
"2022-05-30,11:24:53","the good olive oil","#7281","Mother of christ","",""
"2022-05-30,11:25:01","inoowo","#5169","<:laughingcrying:720798539197841491>","",""
"2022-05-30,11:25:03","Darky4540","#5733","Also thank you my children for keeping this in unpopular opinion cause I do need to say","",""
"2022-05-30,11:25:12","Darky4540","#5733","This is the most unpopular opinion I have ever fucking heard","",""
"2022-05-30,11:25:23","Darky4540","#5733","<:happygelt:824960596821934120> <:troll_laugh:923680213005664266>","",""
"2022-05-30,11:25:34","Le Mounir","#6969","I want to eat a Twinkie","",""
"2022-05-30,11:25:43","Frunnkis","#8368","arthur?","Le Mounir#6969",""
"2022-05-30,11:25:54","Le Mounir","#6969","I'll fucking murder you","",""
"2022-05-30,11:26:03","the good olive oil","#7281","<@450110378047701012> thoughts on mou?","Wubba Wubba#1493",""
"2022-05-30,11:26:14","valley seeker","#0186","You wanna talk about this here?

And the answer is yes, really far into the green quadrant to say lightly.

But no politics here","Le Mounir#6969",""
"2022-05-30,11:26:16","Wubba Wubba","#1493","I love mou.","",""
"2022-05-30,11:26:20","Le Mounir","#6969","I can't do jokes about his mom any more I'm sad","",""
"2022-05-30,11:26:26","valley seeker","#0186","Wait, arthur is joe?","",""
"2022-05-30,11:26:32","valley seeker","#0186","Why joe","",""
"2022-05-30,11:26:41","Wubba Wubba","#1493","JOE MAMA","",""
"2022-05-30,11:26:50","Darky4540","#5733","","",""
"2022-05-30,11:26:50","valley seeker","#0186","HAA","Wubba Wubba#1493",""
"2022-05-30,11:26:57","Le Mounir","#6969","Are you the Linux type of libertarian,.the gun type or the crypto type?","",""
"2022-05-30,11:27:10","Le Mounir","#6969","Or the three of em","",""
"2022-05-30,11:27:17","valley seeker","#0186","Like i said. Not the place.

I am the marx type","Le Mounir#6969",""
"2022-05-30,11:27:22","Le Mounir","#6969","What","",""
"2022-05-30,11:27:26","Darky4540","#5733","Marxist libertarian?","",""
"2022-05-30,11:27:27","Darky4540","#5733","What","",""
"2022-05-30,11:27:28","Le Mounir","#6969","Have","",""
"2022-05-30,11:27:29","Darky4540","#5733","The fuck?","",""
"2022-05-30,11:27:29","Le Mounir","#6969","Tou","",""
"2022-05-30,11:27:31","Le Mounir","#6969","Rnsksvsisbss","",""
"2022-05-30,11:27:40","Le Mounir","#6969","Have you read anything from Marx???","",""
"2022-05-30,11:27:40","Frunnkis","#8368","Isn't that contradictory?","",""
"2022-05-30,11:27:45","the good olive oil","#7281","aren’t libertarians on the right of the compass?????","",""
"2022-05-30,11:27:49","Le Mounir","#6969","No","",""
"2022-05-30,11:27:51","valley seeker","#0186","No","",""
"2022-05-30,11:27:53","valley seeker","#0186","And yes","",""
"2022-05-30,11:27:54","Le Mounir","#6969","Différent shit","",""
"2022-05-30,11:28:10","Le Mounir","#6969","It can be both","",""
"2022-05-30,11:28:11","the good olive oil","#7281","oh","",""
"2022-05-30,11:28:16","Wubba Wubba","#1493","I miss seeing him. I wish I liked going out more, so I could go out with friends, but I usually whine, or am unpleasant to be around.","",""
"2022-05-30,11:28:24","Le Mounir","#6969","Mais la boussole politique is shit anyway","",""
"2022-05-30,11:28:35","valley seeker","#0186","Indeed","Le Mounir#6969",""
"2022-05-30,11:28:40","Darky4540","#5733","A Marxist libertarian is questionable since libertarians believe in a very strong market and private companies doing the heavy lifting","",""
"2022-05-30,11:28:50","Darky4540","#5733","Can you please explain????","",""
"2022-05-30,11:28:52","valley seeker","#0186","Yes. And engel. And lenin.","Le Mounir#6969",""
"2022-05-30,11:28:52","Le Mounir","#6969","I like your whining","",""
"2022-05-30,11:29:10","valley seeker","#0186","Libertarian believe in a weak state.

Thats our common point","Darky4540#5733",""
"2022-05-30,11:29:17","Frunnkis","#8368","https://tenor.com/view/he-just-like-me-fr-gif-25075803","Wubba Wubba#1493",""
"2022-05-30,11:29:33","valley seeker","#0186","Gotta go back to work","",""
"2022-05-30,11:29:34","Darky4540","#5733","No? I mean kinda but marx believed in a strong state where class is removed","",""
"2022-05-30,11:29:43","Darky4540","#5733","A classless state not anarchism","",""
"2022-05-30,11:29:45","valley seeker","#0186","No. He's a anarchist","Darky4540#5733",""
"2022-05-30,11:30:05","valley seeker","#0186","A stateless, classless state","",""
"2022-05-30,11:30:12","Darky4540","#5733","What","",""
"2022-05-30,11:30:14","Darky4540","#5733","Mo","",""
"2022-05-30,11:30:23","Darky4540","#5733","Nono","",""
"2022-05-30,11:30:26","Darky4540","#5733","I mean you could interpret him as that I guess","",""
"2022-05-30,11:30:33","Le Mounir","#6969","Ok I don't wanna get into it that much","",""
"2022-05-30,11:30:37","Le Mounir","#6969","Mais","",""
"2022-05-30,11:30:43","inoowo","#5169","mounirrr","",""
"2022-05-30,11:30:46","inoowo","#5169","noooon","",""
"2022-05-30,11:30:48","Le Mounir","#6969","Dictature du prolétariat","",""
"2022-05-30,11:30:48","inoowo","#5169","no mais","",""
"2022-05-30,11:30:50","inoowo","#5169","nooooo","",""
"2022-05-30,11:30:52","Le Mounir","#6969","C genre un objectif","",""
"2022-05-30,11:30:52","the good olive oil","#7281","Ä","",""
"2022-05-30,11:30:54","Le Mounir","#6969","Voilà","",""
"2022-05-30,11:31:21","Le Mounir","#6969","TBF i haven't read shit in years","",""
"2022-05-30,11:31:49","Le Mounir","#6969","I'm too scared to fuck up one sentence and fuck up a whole argument cause of it","",""
"2022-05-30,11:31:51","Le Mounir","#6969","Also","",""
"2022-05-30,11:32:05","Darky4540","#5733","Only brainlets think marx was an anarchist that's like saying yeah hitler was a nasbol","",""
"2022-05-30,11:32:06","Darky4540","#5733","Like what","",""
"2022-05-30,11:32:16","Le Mounir","#6969","Why do ginger people have freckles??","",""
"2022-05-30,11:32:23","Le Mounir","#6969","Genre what's the correlation","",""
"2022-05-30,11:32:34","Le Mounir","#6969","Where my science bitches at","",""
"2022-05-30,11:32:46","Darky4540","#5733","Just an fyi <@533006800849731616> I respect your opinion I'm just turbo fucking lost","valley seeker#0186",""
"2022-05-30,11:33:28","the good olive oil","#7281","as someone who gave up on sciences years ago, they’re just built worse","",""
"2022-05-30,11:33:36","Le Mounir","#6969","O good to know","",""
"2022-05-30,11:33:41","the good olive oil","#7281","Npnp","",""
"2022-05-30,11:33:41","Le Mounir","#6969","Fucking Irish people","",""
"2022-05-30,11:33:51","Darky4540","#5733","Fucking gingers man","",""
"2022-05-30,11:33:56","Le Mounir","#6969","Rootbeer","",""
"2022-05-30,11:33:58","Le Mounir","#6969","Wait","",""
"2022-05-30,11:33:59","Le Mounir","#6969","No","",""
"2022-05-30,11:34:01","Darky4540","#5733","Beer","",""
"2022-05-30,11:34:02","Le Mounir","#6969","What's the name","",""
"2022-05-30,11:34:05","Le Mounir","#6969","Canada dry","",""
"2022-05-30,11:34:08","Frunnkis","#8368","https://tenor.com/view/monka-walk-away-monka-s-monka-w-monka-pepe-gif-24418591","Le Mounir#6969",""
"2022-05-30,11:34:09","Le Mounir","#6969","Here we go","",""
"2022-05-30,11:34:09","Darky4540","#5733","Gingerale","",""
"2022-05-30,11:34:17","Darky4540","#5733","I'd fuck irish ppl","",""
"2022-05-30,11:34:19","Le Mounir","#6969","You're Scottish in my head","",""
"2022-05-30,11:34:28","Darky4540","#5733","Unpopular opinion the northern Ireland is danish","",""
"2022-05-30,11:34:43","the good olive oil","#7281","pulling out my ancestry results rq 😩","",""
"2022-05-30,11:34:55","Le Mounir","#6969","Unpopular opinion I could beat the whole British monarchy in a fight","",""
"2022-05-30,11:35:04","the good olive oil","#7281","You should try","",""
"2022-05-30,11:35:24","Darky4540","#5733","Nah bro queen Elizabeth will suck the soul out of you","",""
"2022-05-30,11:35:53","Le Mounir","#6969","I'll say one word in Arabic she'll cry","",""
"2022-05-30,11:36:01","the good olive oil","#7281","LMAO","",""
"2022-05-30,11:36:34","the good olive oil","#7281","did y’all see that spotify playlist of songs that would instakill prince philip","",""
"2022-05-30,11:36:40","the good olive oil","#7281","and then he died a week later","",""
"2022-05-30,11:36:45","Le Mounir","#6969","Omg","",""
"2022-05-30,11:36:55","Le Mounir","#6969","They killed.matt smith","",""
"2022-05-30,11:36:56","Frunnkis","#8368","LMAO","",""
"2022-05-30,11:37:04","Frunnkis","#8368","https://tenor.com/view/yakuza-kazuma-kiryu-pissed-off-gif-14586175","Le Mounir#6969",""
"2022-05-30,11:37:06","the good olive oil","#7281","then it was renamed “mission accomplished”","",""
"2022-05-30,11:37:12","Darky4540","#5733","I'll show her my missing partial nut she will coom","",""
"2022-05-30,11:37:12","Le Mounir","#6969","<:died:973097382621380618> <:died:973097382621380618>","",""
"2022-05-30,11:39:38","Darky4540","#5733","Andy why you reacting to my sexual posts I'll fucking fuck kill 😤","",""
"2022-05-30,11:39:49","Darky4540","#5733","🇮🇱","",""
"2022-05-30,11:42:47","Le Mounir","#6969","<:RalseisJoint:896573583072059402>","",""
"2022-05-30,12:10:08","Gawa yawa","#2526","What happend here","",""
"2022-05-30,12:13:15","Le Mounir","#6969","Racism","",""
"2022-05-30,12:16:34","Darky4540","#5733","Today's subject","",""
"2022-05-30,12:16:36","Darky4540","#5733","Slavery","",""
"2022-05-30,12:18:06","Le Mounir","#6969","<:Pistache:953253015706562620>","",""
"2022-05-30,13:05:33","valley seeker","#0186","...

So to explain what I believe without big detail.

Engel, marx and lenin believe the state is an external being to the people, therefore, if people directly form the government, it is enforcement by culture.

But how do you enact this with millions of people? You don't, you hyper-decentralize the country into multiple collective.

Marx believe an external threat like the state and other country need to be constantly checked. Therefore, marx, engel and lenin were pro gun absolutist. So am I. It is in our belief that not only the people should be armed, it should be a duty for people to overthrow a state that try to remove such right. To a libertarian socialist, owning a literal bazooka is ethical. Exemple, many libertarian socialist, including me, believe that the public execution of Ocasio cortez and her lapdogs squad is absolutely ethical. Especially since she approved of an actual dictator in Venezuela and said we should imitate it.

Is the confusion cleared or do I delve further?

Main believer are marx,engel, early lenin, orwell, huxley, spengler","",""
"2022-05-30,13:05:57","valley seeker","#0186","Also, mounir.

How did you know? Where did you heard the rumor?","",""
"2022-05-30,13:08:10","valley seeker","#0186","Also, we ginger were created ""a la"" slanesh.

We were murdered-fucked into existence by the dark one.","",""
"2022-05-30,13:09:31","valley seeker","#0186","If you get the ref, you are an absolute chad","",""
"2022-05-30,13:09:46","valley seeker","#0186","I think sacha would get the reference","",""
"2022-05-30,13:11:42","Gawa yawa","#2526","Oscasio cortez?","",""
"2022-05-30,13:11:43","Gawa yawa","#2526","Like","",""
"2022-05-30,13:11:56","Gawa yawa","#2526","Alexandria oscasio cortez?","",""
"2022-05-30,13:12:02","valley seeker","#0186","Yes, that dog","",""
"2022-05-30,13:13:51","Darky4540","#5733","Very giga based warham reference","",""
"2022-05-30,13:15:33","valley seeker","#0186","YES","Darky4540#5733",""
"2022-05-30,13:17:37","Darky4540","#5733","Also wait","",""
"2022-05-30,13:18:00","Darky4540","#5733","Execution od Cortez may I please know as to why it would be ethical to murder a politician?","",""
"2022-05-30,13:18:53","Darky4540","#5733","Am confusion","",""
"2022-05-30,13:20:57","valley seeker","#0186","It is ethical to murder an authoritarian as they wish to impose their will and belief on others by coercion. Liberal(as in political liberalism) politicians generally don't do that

We respond to such method with violence and force","",""
"2022-05-30,13:22:17","valley seeker","#0186","Anyhow. I am eating kraft minute, it may take some time before answering.","",""
"2022-05-30,13:25:46","the good olive oil","#7281","Mother of god","",""
"2022-05-30,13:26:52","goobity","#0420","<:sweating:943933471376674886>","",""
"2022-05-30,13:28:31","the good olive oil","#7281","how about you take a kraft minute to touch some grass","",""
"2022-05-30,13:30:17","Wubba Wubba","#1493","And I like you too :)","",""
"2022-05-30,13:30:19","valley seeker","#0186","But grass is bowing UwU","the good olive oil#7281",""
"2022-05-30,13:30:23","the good olive oil","#7281","imposing your wills and beliefs by coercion = bad but imposing your wills and beliefs by murder = based? just so i get this right","",""
"2022-05-30,13:31:01","Wubba Wubba","#1493","Of course, if you disagree with someone, fucking murder them and take their place in the hierarchy smh","",""
"2022-05-30,13:31:13","valley seeker","#0186","No since one is a reaction and the other is pro active.

Its like saying that killing the person that is trying to kill you is unethical","the good olive oil#7281",""
"2022-05-30,13:31:51","Darky4540","#5733","But AOC isn't trying to murder you plus she's in tbe states not Canada","",""
"2022-05-30,13:31:59","valley seeker","#0186","The ocasio squad are pro active in their authoritarian way.

The other is just reacting to it.","",""
"2022-05-30,13:32:04","Darky4540","#5733","Why not focus that on a Canadian politician or sm","",""
"2022-05-30,13:33:35","valley seeker","#0186","...","",""
"2022-05-30,13:33:39","Darky4540","#5733","Also what exactly do you mean by she's authoritarian","",""
"2022-05-30,13:38:30","valley seeker","#0186","Imposing affirmative action, by the state

Taking exemple of venezuela

Pro covid mandate while not respecting those same mandate(rule for thee, not for me authoritarian syndrome)

Is not for freedom of speech if said speech is against her own.

Huge monopoly on media narrative. A bit like the cbc in canada, most media are directly funded by some partie. The democrat have a near monopole

Maoist tendency toward education, such as trying to put her belief, and shutting down other belief through the education system.

Undefined and interchangeable definition of hate speech to play the lenin rethorical game( late lenin mind you)","Darky4540#5733",""
"2022-05-30,13:38:36","valley seeker","#0186","Do I need to continue?","",""
"2022-05-30,13:42:59","Darky4540","#5733","Ok and what do you think of soros","",""
