Date,Username,User tag,Content,Mentions,link
"2022-05-30,11:28:52",valley seeker,#0186,Yes. And engel. And lenin.,Le Mounir#6969,
"2022-05-30,11:29:10",valley seeker,#0186,Libertarian believe in a weak state.,,
"2022-05-30,11:29:33",valley seeker,#0186,Gotta go back to work,,
"2022-05-30,11:29:45",valley seeker,#0186,No. He's a anarchist,Darky4540#5733,
"2022-05-30,11:30:05",valley seeker,#0186,"A stateless, classless state",,
"2022-05-30,13:05:33",valley seeker,#0186,...,,
"2022-05-30,13:05:57",valley seeker,#0186,"Also, mounir.",,
"2022-05-30,13:08:10",valley seeker,#0186,"\"Also, we ginger were created \"\"a la\"\" slanesh.",,
"2022-05-30,13:09:31",valley seeker,#0186,"If you get the ref, you are an absolute chad",,
"2022-05-30,13:09:46",valley seeker,#0186,I think sacha would get the reference,,
"2022-05-30,13:12:02",valley seeker,#0186,"Yes, that dog",,
"2022-05-30,13:15:33",valley seeker,#0186,YES,Darky4540#5733,
"2022-05-30,13:20:57",valley seeker,#0186,It is ethical to murder an authoritarian as they wish to impose their will and belief on others by coercion. Liberal(as in political liberalism) politicians generally don't do that,,
"2022-05-30,13:22:17",valley seeker,#0186,"Anyhow. I am eating kraft minute, it may take some time before answering.",,
"2022-05-30,13:30:19",valley seeker,#0186,But grass is bowing UwU,the good olive oil#7281,
"2022-05-30,13:31:13",valley seeker,#0186,No since one is a reaction and the other is pro active.,,
"2022-05-30,13:31:59",valley seeker,#0186,The ocasio squad are pro active in their authoritarian way.,,
"2022-05-30,13:33:35",valley seeker,#0186,...,,
"2022-05-30,13:38:30",valley seeker,#0186,"Imposing affirmative action, by the state",,
"2022-05-30,13:38:36",valley seeker,#0186,Do I need to continue?,,
"2022-05-30,13:45:03",valley seeker,#0186,Who?,,
"2022-05-30,13:45:13",valley seeker,#0186,"Wait, imma search",,
"2022-05-30,13:46:09",valley seeker,#0186,Ho. Yes him,,
"2022-05-30,13:48:12",valley seeker,#0186,"Erh. He don't show that much authoritarianism, but thats maybe because I don't hear about him often.",,
"2022-05-30,13:53:41",valley seeker,#0186,They are authoritarian so I hate them....,,
"2022-05-30,13:53:47",valley seeker,#0186,Is it fair?,,
"2022-05-30,13:54:59",valley seeker,#0186,Anyhow,,
"2022-05-30,13:55:14",valley seeker,#0186,Any people saw the last chapter of one piece,,
"2022-05-30,13:55:42",valley seeker,#0186,Fair enough.,,
"2022-05-30,14:09:58",valley seeker,#0186,I will pm it to ya after my job in approximately 4h,,
"2022-05-30,19:27:03",valley seeker,#0186,Yep. Went pm instead,Hathena#6395,
"2022-06-01,12:07:18",valley seeker,#0186,I completely agree,Hathena#6395,
"2022-06-01,15:15:05",valley seeker,#0186,Dragon quest 5 is the most overrated dragon quest.,,
"2022-06-01,15:16:00",valley seeker,#0186,Never played it. Should play it someday,Darky4540#5733,
"2022-06-01,15:16:43",valley seeker,#0186,Can we agree that dragon quest 7 is underrated though,,
